gameId,Multiplicador
17385196015,1.13
17385196115,1
17385196215,1.22
17385196315,2.02
17385196415,15.72
17385196515,1.48
17385196615,1.09
17385196715,1.08
17385196815,1.18
17385196915,5.25
17385197015,1.22
17385197115,1.06
17385197215,3.31
17385197315,2.57
17385197415,1.96
17385197515,3.83
17385197615,3.2
17385197715,1.18
17385197815,1.37
17385197915,2.37
17385198015,12.73
17385198115,1.61
17385198215,1.34
17385198315,1.04
17385198415,7.03
17385198515,2.98
17385198615,1.71
17385198715,2.26
17385198815,4.45
17385198915,2.54
17385199015,1.54
17385199115,1.13
17385199215,2.08
17385199315,1.04
17385199415,1.51
17385199515,1.76
17385199615,1.13
17385199715,2.49
17385199815,1
17385199915,7.4
17385200015,9.47
17385200115,4.63
17385200215,18.04
17385200315,1.34
17385200415,1.06
17385200515,1.11
17385200615,1.06
17385200715,3.19
17385200815,1.06
17385200915,1.24
17385201015,4.79
17385201115,1.18
17385201215,3.52
17385201315,16.31
17385201415,1.18
17385201515,4.17
17385201615,1
17385201715,1.72
17385201815,2.98
17385201915,1.27
17385202015,2.04
17385202115,2.24
17385202215,1.02
17385202315,1.63
17385202415,2.89
17385202515,1.78
17385202615,25.56
17385202715,9.56
17385202815,4.27
17385202915,1.32
17385203015,2.63
17385203115,1.18
17385203215,32.25
17385203315,1.71
17385203415,1.12
17385203515,1.05
17385203615,11.98
17385203715,9.08
17385203815,35.84
17385203915,2.81
17385204015,1.12
17385204115,11.96
17385204215,1.23
17385204315,1.48
17385204415,1
17385204515,4.7
17385204615,1.01
17385204715,1.53
17385204815,3.08
17385204915,1.89
17385205015,1.87
17385205115,1.36
17385205215,2.05
17385205315,2.68
17385205415,5.66
17385205515,3.26
17385205615,1.08
17385205715,1.35
17385205815,5.58
17385205915,1
17385206015,9.94
17385206115,1.15
17385206215,1.06
17385206315,1
17385206415,2.23
17385206515,2.13
17385206615,1.76
17385206715,2.26
17385206815,3.04
17385206915,1.67
17385207015,4.64
17385207115,3.86
17385207215,2.53
17385207315,1.7
17385207415,3.02
17385207515,1.21
17385207615,6.03
17385207715,1.17
17385207815,6.58
17385207915,2.98
17385208015,1.21
17385208115,25.64
17385208215,225.88
17385208315,1.8
17385208415,3.6
17385208515,2.9
17385208615,6.19
17385208715,1.03
17385208815,1.07
17385208915,1.09
17385209015,1.3
17385209115,1.91
17385209215,1
17385209315,2.57
17385209415,1
17385209515,69.84
17385209615,7.99
17385209715,4.7
17385209815,7.48
17385209915,1.09
17385210015,3.29
17385210115,1.1
17385210215,1.09
17385210315,2.35
17385210415,1
17385210515,2.61
17385210615,1.05
17385210715,1.45
17385210815,29.18
17385210915,2.82
17385211015,1.3
17385211115,1.6
17385211215,1.91
17385211315,1.26
17385211415,2.78
17385211515,2.4
17385211615,2.12
17385211715,3.13
17385211815,5.31
17385211915,2.12
17385212015,3.69
17385212115,2.01
17385212215,1.12
17385212315,1.75
17385212415,2.44
17385212515,2.15
17385212615,1.25
17385212715,3.22
17385212815,1.62
17385212915,1.19
17385213015,3.24
17385213115,4.13
17385213215,7.68
17385213315,1.78
17385213415,1.22
17385213515,2.63
17385213615,2.94
17385213715,1.09
17385213815,2.84
17385213915,1.77
17385214015,1.06
17385214115,8.79
17385214215,1.47
17385214315,4.68
17385214415,2.98
17385214515,1.25
17385214615,1.43
17385214715,4.41
17385214815,1.07
17385214915,4.14
17385215015,2.83
17385215115,1.55
17385215215,1.47
17385215315,3.62
17385215415,2.68
17385215515,5.7
17385215615,1.61
17385215715,1.49
17385215815,1.41
17385215915,1.93
17385216015,1.22
17385216115,4.68
17385216215,1.44
17385216315,6.5
17385216415,1.48
17385216515,1.68
17385216615,4.96
17385216715,11.51
17385216815,9.38
17385216915,1.17
17385217015,1
17385217115,7.81
17385217215,5.75
17385217315,1.84
17385217415,22.66
17385217515,1.11
17385217615,1.82
17385217715,1.66
17385217815,1.05
17385217915,2.32
17385218015,1.56
17385218115,1
17385218215,15.01
17385218315,1.83
17385218415,3.04
17385218515,1.14
17385218615,1.23
17385218715,1.55
17385218815,11.85
17385218915,1.33
17385219015,1.73
17385219115,1.17
17385219215,1.69
17385219315,1.16
17385219415,1.13
17385219515,3.7
